Part Name,Library Ref,Footprint Ref,CreatedBy,HelpURL,Manufacturer 1,Manufacturer 1 Part Number,Vendor 1,Vendor 1 Part Number,Description,Value,Comment
"IND,2.7nH,850mA,Wirewound,0402","IND,2.7nH,850mA,Wirewound,0402",INDC1005X05N,Judd Foster,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0050.pdf,Murata,LQW15AN2N7D00D,Digikey,490-1137-1-ND,"2.7 nH Unshielded Drum Core, Wirewound Inductor 850 mA 50mOhm Max 0402 (1005 Metric)",2.7nH,"2.7nH,850mA,Wirewound,0402"
"CAP,Cer,1.3pF,50VDC,C0G,0402","CAP,Cer,1.3pF,50VDC,C0G,0402",CAPC1005X06N,Judd Foster,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H1R3BB01-01.pdf,Murata Electronics,GJM1555C1H1R3BB01D,Digikey,490-8086-1-ND,"1.3 pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",1.3pF,"1.3pF,50V,C0G,0402"
"IND,3.6nH,900mA,Wirewound,0402","IND,3.6nH,900mA,Wirewound,0402",INDC1005X05N,Judd Foster,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0051.pdf,Murata Electronics,LQW15AN3N6C10D,Digikey,490-6811-1-ND,"3.6 nH Unshielded Drum Core, Wirewound Inductor 900 mA 40mOhm Max 0402 (1005 Metric)",3.6nH,"3.6nH,900mA,Wirewound,0402"
"IND,10uH,680mA,Wirewound,1007","IND,10uH,680mA,Wirewound,1007",TAIYO-YUDEN_LSQPA251818T100M,Judd Foster,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6025/LSQPA251818T100M_SS.pdf,Taiyo Yuden,LSQPA251818T100M,Digikey,587-LSQPA251818T100MCT-ND,10 µH Unshielded Wirewound Inductor 680 mA 468mOhm Max 1007 (2518 Metric),10uH,"10uH,680mA,Wirewound,1007"
"ANT,2.45GHz,Meander,ST_AN5129","ANT,2.45GHz,Meander,ST_AN5129",ST_AN5129,Judd Foster,https://www.st.com/resource/en/application_note/an5129-guidelines-for-meander-design-using-lowcost-pcb-antennae-with-24-ghz-radio-for-stm32wbwb0-mcus-stmicroelectronics.pdf,N/A,N/A,N/A,N/A,"PCB Antenna, Meander, 2.45 GHz",,2.45GHz
"Conn,Jack,4Cond,3.5mm,Female,Thru","Conn,Jack,4Cond,3.5mm,Female,Thru",TENSILITY_54-00176,Judd Foster,https://tensility.s3.us-west-2.amazonaws.com/uploads/pdffiles/54-00176.pdf,Tensility International Corp,54-00176,Digikey,839-54-00176CT-ND,"3.50mm (0.141"", 1/8"", Mini Plug) - Headphone Phone Jack Stereo (4 Conductor, TRRS) Connector Solder",,=Manufacturer 1 Part Number
AD8129ARZ,AD8129ARZ,ANALOGDEVICES_PKG_R-8,Judd Foster,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8129_8130.pdf,Analog Devices Inc.,AD8129ARZ,DigiKey,505-AD8129ARZ-ND,Differential Amplifier 1 Circuit 8-SOIC,,=Manufacturer 1 Part Number
OPA659IDBVT,OPA659IDBVT,TEXASINSTRUMENTS_PKG_DBV0005A,Judd Foster,https://www.ti.com/lit/ds/symlink/opa659.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1730770701398&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fopa659,Texas Instruments,OPA659IDBVT,DigiKey,296-24971-1-ND,J-FET Amplifier 1 Circuit SOT-23-5,,=Manufacturer 1 Part Number
"XMITTER,FIBER OPTIC,650NM,1.9V,IF-E99B","XMITTER,FIBER OPTIC,650NM,1.9V,IF-E99B",INDUSTRIALFIBEROPTICS_IF-E99B,Judd Foster,https://i-fiberoptics.com/pdf/if-e99bdatasheet.pdf,Industrial Fiber Optics,IF-E99B,DigiKey,FB161-ND,Fiber Optic Transmitter 650nm 1.9V 50 mA Connector-less,,=Manufacturer 1 Part Number
"RES,49R9,1%,0.063W,0402","RES,49R9,1%,0.063W,0402",RESC1005X04N,Judd Foster,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,RC0402FR-0749R9L,DigiKey,311-49.9LRCT-ND,"49.9 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",49R9,"49R9,1%,0.063W,0402"
LM7332MMX_NOPB,LM7332MMX_NOPB,TEXASINSTRUMENTS_PKG_DGK0008A,Judd Foster,https://www.ti.com/lit/ds/symlink/lm7332.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1730932081789&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Flm7332,Texas Instruments,LM7332MMX/NOPB,DigiKey,296-LM7332MMX/NOPBCT-ND,General Purpose Amplifier 2 Circuit Rail-to-Rail 8-VSSOP,,=Manufacturer 1 Part Number
"RECEIVER,FIBER OPTIC,450-1050NM,IF-D91B","RECEIVER,FIBER OPTIC,450-1050NM,IF-D91B",INDUSTRIALFIBEROPTICS_IF-D91B,Judd Foster,https://i-fiberoptics.com/pdf/ifd91b-1809.pdf,Industrial Fiber Optics,IF D91B,DigiKey,FB200-ND,Fiber Optic Receiver General Purpose 100Mbps,,=Manufacturer 1 Part Number
"XFR,Flyback,COILCRAFT_GA3460-BL","XFR,Flyback,COILCRAFT_GA3460-BL",COILCRAFT_GA3460-BL,Judd Foster,https://www.mouser.ca/datasheet/2/597/ga3459-463457.pdf,Coilcraft,GA3460-BL,Mouser,994-GA3460-BL,Audio Transformers / Signal Transformers GA3460 for LT3751 500V 50A,,=Manufacturer 1 Part Number
"IND,1uH,1.2A,150mOhm,Multilayer,1206","IND,1uH,1.2A,150mOhm,Multilayer,1206",MURATA_LQM31,Judd Foster,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0013.pdf,Murata Electronics,LQM31PN1R0M00L,Digikey,490-4039-1-ND,1 µH Shielded Multilayer Inductor 1.2 A 150mOhm Max 1206 (3216 Metric),1u,"1uH,1.2A,150mOhm,Multilayer,1206"
"RES,787R,0.1%,0.063W,0402","RES,787R,0.1%,0.063W,0402",RESC1005X04N,Judd Foster,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,YAGEO,RT0402BRD07787RL,DigiKey,YAG4310CT-ND,"787 Ohms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film",787R,"787R,0.1%,0.063W,0402"
"MOSFET,N Ch,200V,50A,IRFP260MPBF","MOSFET,N Ch,200V,50A,IRFP260MPBF",INFINEON_PKG_TO247AD,Judd Foster,https://www.infineon.com/dgdl/irfp260mpbf.pdf?fileId=5546d462533600a40153562894e91fe0,Infineon Technologies,IRFP260MPBF,DigiKey,IRFP260MPBF-ND,N-Channel 200 V 50A (Tc) 300W (Tc) Through Hole TO-247AC,,=Manufacturer 1 Part Number
"RES,0R005,1%,2W,2512","RES,0R005,1%,2W,2512",OHMITE_PKG_MCS3264,Judd Foster,https://www.ohmite.com/assets/images/res-mcs.pdf,Ohmite,MCS3264R005FER,DigiKey,MCS3264R005FERCT-ND,"5 mOhms ±1% 2W Chip Resistor 2512 (6432 Metric) Current Sense, Flame Retardant Coating, Safety Metal Element",5m,"0R005,1%,2W,2512"
"RES,1k,0.1%,0.063W,0402","RES,1k,0.1%,0.063W,0402",RESC1005X04N,Judd Foster,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf,YAGEO,RT0402BRE071KL,DigiKey,YAG2306CT-ND,"1 kOhms ±0.1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Thin Film",1k,"1k,0.1%,0.063W,0402"
